"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Squad","Validate squad creation/deletion POST /fantasy-squad 200 OK","0","0","2","0","0"
"","Account","Update user data information","0","0","1","0","0"
"","TierList","Validate TierList creation/deletion POST /tierlist 200 OK","0","0","1","0","0"
"","Squad","Validate share squad POST /fantasy-squad/share 200 OK","0","0","1","0","0"
"","Squad","Validate remove player from squad POST /fantasy-squad/upsert 200 OK","0","0","1","0","0"
"","Login","Validate invalid login GET 401 unauthorized","0","0","1","0","0"
"","Squad","Validate add player to squad POST /fantasy-squad/upsert 200 OK","0","0","1","0","0"
"","TierList","Validate visualize TierList GET /tierlist/slug 200 OK","0","0","1","0","0"
"","Squad","Validate shared squad GET /fantasy-squad/shared 200 OK","0","0","1","0","0"
"","Login","Validate user valid login GET 200 OK","0","0","1","0","0"
